filename,category,format_name,character,prompt
format-storytelling-B,format,Storytelling,B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt sitting on his bed looking slightly past the camera like he is remembering something, short dark hair, thoughtful expression, he is mid-story with a slight hand gesture, natural daylight creating mood lighting from a window, real bedroom background, iPhone rear camera quality with slight grain, narrative energy like he is about to tell you something that happened to him, 9:16 vertical"
format-greenscreen-C,format,Greenscreen,C,"Vertical iPhone screenshot of a young white woman early 30s with messy bun in a beige jumper standing in front of a plain wall in her flat, she is gesturing behind her at the wall as if content would be displayed there in post, her expression is presenting and explaining, natural daylight, the wall behind her is relatively plain and could be replaced, iPhone rear camera quality with slight grain, presenter energy pointing at evidence, 9:16 vertical"
format-tutorial-A,format,Tutorial,A,"Vertical iPhone screenshot of a young Black woman in her bedroom demonstrating step by step how to use a product, grey hoodie braids warm brown skin, she is looking down at her hands carefully applying or assembling something, the product and her hands are the focus, natural daylight, real bedroom desk surface, iPhone rear camera quality with slight grain, patient instructional energy showing each step clearly, 9:16 vertical"
format-social-proof-mashup-B,format,Social Proof Mashup,B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt holding his phone showing multiple reviews or comments on the screen, short dark hair, he is in his living room pointing at the phone screen with an expression that says see everyone agrees, natural daylight, real living room background, iPhone rear camera quality with slight grain, proof and validation energy lots of people saying the same thing, 9:16 vertical"
format-reaction-video-C,format,Reaction Video,C,"Vertical iPhone screenshot of a young white woman early 30s with messy bun and beige jumper reacting to something she is watching on her laptop screen, genuine facial expression of surprise or amazement, she is sitting on her sofa with the laptop open, one hand covering her mouth, natural daylight from a window, real living room, iPhone rear camera quality with slight grain, authentic first-time reaction energy, 9:16 vertical"
format-unboxing-A,format,Unboxing,A,"Vertical iPhone screenshot of a young Black woman on her bed surrounded by packaging materials opening a delivery, grey hoodie braids warm brown skin, box flaps open tissue paper pulled aside, she is lifting something out with excitement on her face, natural daylight, real bedroom with the bed covered in packaging, iPhone rear camera quality with slight grain, the excitement of opening something new, 9:16 vertical"
format-listicle-B,format,Listicle,B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt holding up one finger like he is counting point number one, short dark hair, he is in his kitchen, the expression says here is the first thing you need to know, natural kitchen lighting, real kitchen background, iPhone rear camera quality with slight grain, list energy structured and numbered, 9:16 vertical"
format-pov-C,format,POV (Point of View),C,"Vertical iPhone screenshot first-person point of view looking down at a young white woman's hands opening a product on a kitchen counter, we see her beige jumper sleeves and hands but not her face, the product is centre-frame, real kitchen counter with a mug and keys visible nearby, natural daylight from a kitchen window, iPhone rear camera quality with slight grain, the viewer IS the creator perspective, 9:16 vertical"
format-styling-reel-A,format,Styling Reel,A,"Vertical iPhone screenshot of a young Black woman standing in front of her bedroom mirror trying on or styling something, grey hoodie braids warm brown skin, she is adjusting clothing or accessories and looking at her reflection, the mirror has some smudges, real bedroom visible in the reflection, natural daylight, iPhone rear camera quality with slight grain, getting ready and putting a look together energy, 9:16 vertical"
format-trend-B,format,Trend,B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt doing a trending pose or gesture in his bedroom, short dark hair, he has a confident or playful expression, the setup suggests he is recreating a popular TikTok moment, natural daylight, real bedroom background with posters or items on the wall, iPhone rear camera quality with slight grain, trend participation energy viral and current, 9:16 vertical"
format-asmr-A,format,ASMR,A,"Vertical iPhone screenshot extreme close-up of a young Black woman's hands with warm brown skin slowly opening a product with deliberate careful movements, every texture is visible, the product packaging crinkles slightly, grey hoodie sleeve at the edge of frame, soft natural daylight, blurred bedroom background, iPhone rear camera quality but unusually close and detailed, sensory and tactile energy slow and satisfying, 9:16 vertical"
format-street-interview-C,format,Street Interview,C,"Vertical iPhone screenshot of a young white woman early 30s with messy bun in a beige jumper standing outside on a UK high street holding her phone like a microphone towards someone just out of frame, she has a friendly interviewer expression, real UK street background with shop fronts and people walking, overcast natural daylight typical UK, iPhone rear camera quality with slight grain, spontaneous street energy asking real people, 9:16 vertical"
format-podcast-B,format,Podcast,B,"Vertical iPhone screenshot of a young South Asian man in a black t-shirt sitting at a desk with a basic microphone or just his phone propped up, short dark hair, he is leaning slightly forward talking like he is in a deep conversation, his bedroom or small office background with a shelf and some books, natural daylight mixed with a desk lamp, iPhone rear camera quality with slight grain, intimate conversational energy like you are listening in, 9:16 vertical"
format-comment-response-A,format,Comment Response,A,"Vertical iPhone screenshot of a young Black woman in her bedroom holding her phone up showing a comment on screen that she is about to respond to, grey hoodie braids warm brown skin, she has an amused or here we go expression like she is about to address what someone said, natural daylight, real bedroom background, iPhone rear camera quality with slight grain, the energy of someone replying to a viewer's comment with personality, 9:16 vertical"
